alli_q,answer_20
Is it going to rain on prom night?,"Reply hazy, try again"
Is it my fault Alice cried?,Better not tell you now
Is it my fault she tripped?,Ask again later
Is it time for me to move on and start dating again?,Ask again later
Is it weird that I don't hangout with my cousins as an adult?,"Reply hazy, try again"
Is Katie going to be ok?,"Reply hazy, try again"
Is my cousin's baby going to be healthy?,Ask again later
Is my dad's condition going to deteriorate a lot this year?,Ask again later
Is my dog going to be ok?,Ask again later
Is my home secure?,"Reply hazy, try again"
Is the market steady enough to risk starting my own company right now?,"Reply hazy, try again"
Is there any truth outside of math?,Concentrate and ask again
Is this a good time to start a break dance crew?,Better not tell you now
Is this the right time to finally buy my own kiln?,"Reply hazy, try again"
Is volleyball cool?,Better not tell you now
Should I get a pet dog?,Ask again later
Should I just be honest and tell her my cousin scares me?,Ask again later
Should I take a self defense class?,Better not tell you now
Should Amir and I move in with my parents?,"Reply hazy, try again"
Should Dan and I open our own tattoo parlor?,"Reply hazy, try again"
Should I accept the job offer in Wakanda and move away from my family?,Ask again later
Should I accept the job offer?,Concentrate and ask again
Should I accept the new job offer?,Concentrate and ask again
Should I agree to be a character witness in court?,Better not tell you now
Should I ask for a divorce?,"Reply hazy, try again"
Should I ask Mateo to mary me?,"Reply hazy, try again"
Should I ask my dad for advice?,"Reply hazy, try again"
Should I attend a networking event in my industry?,Concentrate and ask again
Should I attend a reiki workshop?,Ask again later
Should I be closer with my parents?,"Reply hazy, try again"
Should I be friendlier with my next door neighbor?,Concentrate and ask again
Should I be my friend's sober guide while they try ayahuasca for the first time?,Ask again later
Should I be team captain next time we play capture the flag?,Concentrate and ask again
Should I become a freelancer so I can travel the US in a caravan?,Concentrate and ask again
Should I break up with Nore?,"Reply hazy, try again"
Should I break-out on my own and open that coffee shop?,"Reply hazy, try again"
Should I build up my following on tiktok to become an influencer?,Better not tell you now
Should I buy a fancy camera for family photos?,Ask again later
Should I buy a new car this year?,Concentrate and ask again
Should I buy a new tv?,Concentrate and ask again
Should I buy a surround sound system?,"Reply hazy, try again"
Should I buy a tablet?,Concentrate and ask again
Should I buy new clothes before my first day of work?,"Reply hazy, try again"
Should I buy new clothes before starting grad school?,"Reply hazy, try again"
Should I buy tickets to go see a play?,"Reply hazy, try again"
Should I change my last name?,Concentrate and ask again
Should I consider a career change to align with my passions?,Concentrate and ask again
Should I consider a change in my daily routine?,Ask again later
Should I consider joining a team sport for exercise?,Ask again later
Should I do a volunteer abroad program?,Better not tell you now
Should I do an Iron Man?,Concentrate and ask again
Should I do holiday decorations this year?,"Reply hazy, try again"
Should I do more riddles?,Concentrate and ask again
Should I dye my hair purple?,"Reply hazy, try again"
Should I finally start my own business?,"Reply hazy, try again"
Should I find a way to be my own boss?,"Reply hazy, try again"
Should I get a buzz cut?,Better not tell you now
Should I get a christmas tree this year?,Better not tell you now
Should I get a massage?,Ask again later
Should I get a new couch?,Concentrate and ask again
Should I get a new phone?,Concentrate and ask again
Should I get a new tv?,Concentrate and ask again
Should I get a pet cat?,Better not tell you now
Should I get a pet hamster?,"Reply hazy, try again"
Should I get a remote job and travel the world?,Concentrate and ask again
Should I get a tripod or just wing it?,Better not tell you now
Should I get an electric oven?,"Reply hazy, try again"
Should I get an electric stove?,"Reply hazy, try again"
Should I get back into Catholicism?,Better not tell you now
should I get holiday gifts for my next door neighbors?,Concentrate and ask again
Should I get my master's online?,Concentrate and ask again
Should I get my tubes tied?,"Reply hazy, try again"
Should I get ride of my current home security company?,Better not tell you now
Should I get takeaway tonight?,Ask again later
Should I get tickets to that concert?,"Reply hazy, try again"
Should I get Tim tickets to Iceland for his birthday?,"Reply hazy, try again"
Should I get yoga certified as a side job?,Concentrate and ask again
Should I get yoga certified?,Better not tell you now
Should I give them another chance?,Ask again later
Should I give up?,"Reply hazy, try again"
Should I go back to school to become a dietician?,Concentrate and ask again
Should I go back to school to become a therapist?,Concentrate and ask again
Should I go back to therapy?,Better not tell you now
Should I go camping in the grand canyon?,Ask again later
Should I go canvasing?,Better not tell you now
Should I go on a road trip to Dollywood?,Ask again later
Should I go on a road trip to see all the great land artworks in the Southwest?,"Reply hazy, try again"
Should I go on Atkins?,Better not tell you now
Should I go on medication?,Ask again later
Should I go on sabbatical?,"Reply hazy, try again"
Should I go see the new action movie?,Ask again later
Should I go to AfroPunk?,"Reply hazy, try again"
Should I go to SouthBySouthwest?,Ask again later
Should I go to Thanksgiving this year?,Better not tell you now
Should I go to that young professionals mixer?,Concentrate and ask again
Should I go to the sauna this week?,"Reply hazy, try again"
Should I grow my own tomatoes?,Ask again later
Should I have an edible garden in my background?,Ask again later
Should I hire a photographer for new headshots?,Better not tell you now
Should I initiate a difficult conversation with a family member?,Better not tell you now
Should I initiate a difficult conversation with my co-worker?,Better not tell you now
Should I install a sink pump?,"Reply hazy, try again"
Should I install a water catch system?,"Reply hazy, try again"
Should I install security cameras?,"Reply hazy, try again"
Should I invest in a home security system?,Ask again later
Should I invest in improving my home's security?,"Reply hazy, try again"
Should I invest in learning a new form of dance?,Ask again later
Should I invest in name brand tech?,Ask again later
Should I invest in stocks right now?,Concentrate and ask again
Should I invest in upgrading my home office for better productivity?,Concentrate and ask again
Should I invest in upgrading my home's energy efficiency?,"Reply hazy, try again"
Should I invite Billie to be my business partner?,Ask again later
Should I invite Enrico out to dinner?,Ask again later
Should I invite our neighbors over for dinner?,Ask again later
Should I join a local community group?,"Reply hazy, try again"
Should I join a pinball team?,Ask again later
Should I join a social fraternity?,"Reply hazy, try again"
Should I join a tennis league?,Ask again later
Should I join an intramural soccer team?,"Reply hazy, try again"
Should I join my gym's pickleball league?,Ask again later
Should I join my office's softball league?,Ask again later
Should I join the committee?,Better not tell you now
Should I jump?,Cannot predict now
Should I learn how to do handbuilding?,Concentrate and ask again
Should I learn how to kickbox?,Concentrate and ask again
Should I learn how to use Power BI for work?,Concentrate and ask again
Should I learn InDesign?,Concentrate and ask again
Should I learn Javascript?,Concentrate and ask again
Should I learn new software programs for work?,Concentrate and ask again
Should I learn Photoshop?,Concentrate and ask again
Should I learn Python?,Concentrate and ask again
Should I learn Quickbooks?,Concentrate and ask again
Should I learn to fish?,Concentrate and ask again
Should I learn to play the guitar?,Concentrate and ask again
Should I leave my partner?,Ask again later
Should I leave my spouse?,"Reply hazy, try again"
Should I leave the nonprofit sector and try to make a lot of money?,Concentrate and ask again
"Should I make my birthday party ""under the sea"" themed this year?",Better not tell you now
Should I make my house electronics have a master control panel?,Ask again later
Should I move to a new city?,"Reply hazy, try again"
Should I move upstate?,"Reply hazy, try again"
Should I name my kid Birch?,Better not tell you now
Should I name my new baby Elma?,Better not tell you now
Should I offer to give the presentation at work?,Concentrate and ask again
Should I open my own bar?,"Reply hazy, try again"
Should I organize a family reunion?,Ask again later
Should I plan a spontaneous getaway with friends?,Better not tell you now
Should I plan a surprise vacation for my sister?,Better not tell you now
Should I pursue a certification to boost my career?,Concentrate and ask again
Should I pursue a more adventurous lifestyle?,Ask again later
Should I pursue a new hobby to spice up my routine?,"Reply hazy, try again"
Should I pursue further education for career advancement?,Ask again later
Should I pursue further education to enhance my career prospects?,"Reply hazy, try again"
Should I quit chemo to spend my remaining time with my family?,Cannot predict now
Should I quit this job?,Concentrate and ask again
Should I reach out to my estranged relatives?,"Reply hazy, try again"
"Should I read ""What Color Is your Parashute?""",Concentrate and ask again
Should I retire?,Concentrate and ask again
Should I reupholster my kitchen chairs?,Better not tell you now
Should I reupholster the chair on my own?,Ask again later
Should I rewire my electronics to sink up?,Ask again later
Should I run out on my wedding?,Cannot predict now
Should I sell my old camera on eBay?,"Reply hazy, try again"
Should I sell my sperm for extra cash?,Concentrate and ask again
Should I sign my partner and me up for salsa classes?,Ask again later
Should I sign up for that hiphop dance class?,Ask again later
Should I speak up more?,Better not tell you now
Should I spend more money on furniture?,"Reply hazy, try again"
Should I spend more time with family for emotional support?,Ask again later
Should I spill the tea?,Better not tell you now
Should I splurge on that expensive suit?,Ask again later
Should I start a blog to share my expertise in a specific area?,Concentrate and ask again
Should I start a ceramics studio?,"Reply hazy, try again"
Should I start a poker night?,Ask again later
Should I start doing yoga?,"Reply hazy, try again"
Should I start exploring the city with my camera?,Ask again later
Should I start investing?,Ask again later
Should I start praying?,"Reply hazy, try again"
Should I start publishing data analysis tutorials?,Concentrate and ask again
Should I start walking 10K steps a day?,Better not tell you now
Should I start writing an advice column?,Concentrate and ask again
Should I subscribe to Opera's Book Club?,"Reply hazy, try again"
Should I surprise my kids with a pet kitten?,Ask again later
Should I take a flower arrangement class with Wendy?,Ask again later
Should I take a spontaneous day off to relax and recharge?,"Reply hazy, try again"
Should I take a spontaneous trip this weekend?,"Reply hazy, try again"
Should I take on a writing partner to get more creative?,Better not tell you now
Should I take some time off to travel?,Ask again later
Should I take swimming lessons?,Concentrate and ask again
Should I take the data analysis class?,Concentrate and ask again
Should I tell Ebji that I don't like his friends?,Better not tell you now
Should I tell Erica that I don't want to do the holidays together at dinner tonight?,Better not tell you now
Should I tell her that I want a divorce tonight?,Better not tell you now
Should I tell her that I'm pregnant at dinner?,Better not tell you now
Should I tell him that we're engaged?,Better not tell you now
Should I tell Mona that Rodney was gossiping about her?,Better not tell you now
Should I tell my aunt about what my cousin did?,Concentrate and ask again
Should I tell my boss that my workload is overwhelming?,Concentrate and ask again
Should I tell my boss that Ricardo stole my idea?,Better not tell you now
Should I tell my client about my concerns?,Concentrate and ask again
Should I tell my job that I'm open to an international relocation?,Concentrate and ask again
Should I tell my mom that I am not moving back?,Better not tell you now
Should I tell my mom that I'm eloping?,Better not tell you now
Should I tell Shamus I love him?,Better not tell you now
Should I tell them how I really feel?,Better not tell you now
Should I throw a BBQ to get to know my new neighbors?,Better not tell you now
Should I train for a triathalon?,Ask again later
Should I train my dog for competitions?,"Reply hazy, try again"
Should I travel to a new country this year?,Ask again later
Should I trust my gut and quit while I'm ahead?,"Reply hazy, try again"
Should I trust my instincts?,Concentrate and ask again
Should I try a new form of exercise for variety?,Ask again later
Should I try a new form of exercise?,Ask again later
Should I try mushrooms?,"Reply hazy, try again"
Should I try rock climbing?,Ask again later
Should I try to be closer ot my extended family?,Ask again later
Should I try to be more spontaneous?,"Reply hazy, try again"
Should I try to become a professional writer?,Concentrate and ask again
Should I update my tech?,Ask again later
Should I upgrade all the tech in my house?,Ask again later
Should I upgrade my computer equipment?,Ask again later
Should I visit my extended family more often?,"Reply hazy, try again"
Should I volunteer to be project lead at work?,"Reply hazy, try again"
Should I volunteer to plan this year's block party?,Ask again later
Should I watch a scary movie tonight?,Ask again later
Should Katerina and I co-author a mystery novel together?,Concentrate and ask again
Should study primatology to be like Diane Foosey?,Concentrate and ask again
Should the whole family go vegan?,Ask again later
Should we adopt?,"Reply hazy, try again"
Should we have more kids?,"Reply hazy, try again"
Should we rent out our basement?,Ask again later
Should we throw a graduation party for Adris?,Ask again later
Should we volunteer to host brunch on Saturday?,Ask again later
Was that my fault?,"Reply hazy, try again"
Will a planner actually help with my ADHD?,Concentrate and ask again
Will a spa day help my inflamation?,"Reply hazy, try again"
Will a spa day make me happy?,Cannot predict now
Will be able to have kids soon?,"Reply hazy, try again"
Will Danja ever step up?,Ask again later
Will Donald Trump win the 2024 election?,Cannot predict now
Will Dwayne and I be friends forever?,Ask again later
Will enough people buy tickets to my concert?,"Reply hazy, try again"
Will Google ever have to pay European taxes?,Cannot predict now
Will I achieve my fitness goals this month?,Concentrate and ask again
Will I be a good boss?,"Reply hazy, try again"
Will I be able to afford a downpayment on a house this year?,Ask again later
Will I be able to find a publisher for my book?,Concentrate and ask again
Will I be able to find my lost phone?,Cannot predict now
Will I be able to fix the leaky sink myself?,Concentrate and ask again
Will I be able to get rush tickets to see Titanique?,"Reply hazy, try again"
Will I be able to go on tour this summer?,Ask again later
Will I be able to meet my deadline?,Concentrate and ask again
Will I be able to retire by 65?,"Reply hazy, try again"
Will I be financially stable in the next year?,Ask again later
Will I be inspired to write a book in the near future?,Concentrate and ask again
Will I beat Erikah in the arm wrestling challenge?,Ask again later
Will I become financial stable soon?,Ask again later
Will I ever find my soul mate?,Ask again later
Will I ever have a job that I like?,Concentrate and ask again
Will I ever lose that baby weight?,Ask again later
Will I ever save up enough to buy my own home?,Ask again later
Will I find a new remote job this year?,Concentrate and ask again
Will I find a parking spot?,"Reply hazy, try again"
Will I find the one this year?,Ask again later
Will I finish the 5k in under 35 minutes?,Concentrate and ask again
Will I get a high paying job relative to the cost of living in my area?,"Reply hazy, try again"
Will I get a promotion at work?,Concentrate and ask again
Will I get a raise if I take that class?,Concentrate and ask again
Will I get a scholarship?,Concentrate and ask again
Will I get good at ceramics?,Ask again later
Will I get picked to be captain of the football team?,Cannot predict now
Will I get to produce my own tv show?,Concentrate and ask again
Will I get to work with my hero?,"Reply hazy, try again"
Will I get to write for SNL?,Concentrate and ask again
Will I graduate on time?,Concentrate and ask again
Will I have a chance to attend a life-changing event?,Cannot predict now
Will I have a chance to travel to a new country this year?,Cannot predict now
Will I have a lucky day in the near future?,"Reply hazy, try again"
Will I have a lucky day this week?,"Reply hazy, try again"
Will I have a lucky streak in the coming weeks?,"Reply hazy, try again"
Will I have a smooth and enjoyable vacation next year?,Cannot predict now
Will I have a successful job interview this week?,Concentrate and ask again
Will I have a surprise celebration in my honor?,Cannot predict now
Will I love ceramics forever?,Better not tell you now
Will I make a new friend this month?,Ask again later
Will I meet someone new and interesting this month?,Cannot predict now
Will I pass my fitness test?,Ask again later
Will I receive a gift from someone special?,"Reply hazy, try again"
Will I receive an unexpected financial windfall?,"Reply hazy, try again"
Will I receive an unexpected gift?,"Reply hazy, try again"
Will I receive good news this week?,Cannot predict now
Will I receive positive feedback on my creative work?,"Reply hazy, try again"
Will I receive positive news about a pending opportunity?,Cannot predict now
Will I receive support in pursuing a passion project?,Cannot predict now
Will I receive support in pursuing my passion project?,Ask again later
Will I receive unexpected help during a challenging time?,"Reply hazy, try again"
Will I receive unexpected inspiration for a creative project?,"Reply hazy, try again"
Will I receive unexpected support during a challenging time?,"Reply hazy, try again"
Will I stick to my new year's workout plan?,Concentrate and ask again
Will I successfully learn to do a hand stand in yoga?,"Reply hazy, try again"
Will I successfully navigate a challenging situation at work?,Concentrate and ask again
Will I successfully navigate a complex decision at work?,Concentrate and ask again
Will I successfully navigate a conflict in my personal relationships?,Ask again later
Will I successfully negotiate a favorable deal?,Concentrate and ask again
Will I successfully overcome a challenge in my personal life?,Ask again later
Will I successfully overcome a challenging obstacle?,Ask again later
Will I win my election for student body president?,Concentrate and ask again
Will I win the raffle for that free vacation?,Cannot predict now
Will it snow this winter?,"Reply hazy, try again"
Will Joe Biden win the 2024 election?,Cannot predict now
Will Marcos do the right thing?,"Reply hazy, try again"
Will Mark propose?,Cannot predict now
Will Miranda teach me how to be cool?,"Reply hazy, try again"
Will my ankle heal in the next few months?,Ask again later
Will my book club let me pick the book next month?,Better not tell you now
Will my boss allow me to work remotely?,"Reply hazy, try again"
Will my boss give me the time off that I requested?,Cannot predict now
Will my cat dander allergies improve?,"Reply hazy, try again"
Will my creativity flow effortlessly in the coming weeks?,Cannot predict now
Will my financial situation improve soon?,Ask again later
Will my mom do another surprise visit?,Better not tell you now
Will my plane get in on time?,Cannot predict now
Will my wife respect me more if I built us our own fire pit?,"Reply hazy, try again"
Will self-driving cars come out in 2026?,Cannot predict now
Will the Maple Leafs win the championship?,Cannot predict now
Will the Rangers beat the Devils this week?,Cannot predict now
Will there ever be peace in the middle east?,Cannot predict now
Will Ziggy live another year?,Ask again later
Would I enjoy playing Dungeons & Dragons?,"Reply hazy, try again"
Would I like pickleball?,"Reply hazy, try again"
Am I a good colleague?,Ask again later
Am I a good dancer?,Ask again later
Am I funny?,Ask again later
Are people going to like my new exhibition?,"Reply hazy, try again"
Are people inherently good? ,You may rely on it
Are you an optimist?,Without a doubt
Can I trust my family?,Outlook good
Do I need to be more grateful?,It is certain
Do I need to reconnect with my roots?,Most likely
Do I want to find someone I trust to career advise?,It is certain
Do letter writing campaigns make a difference?,Outlook good
Does Andrea want me to throw her a graduation party?,Signs point to yes
Does Evan care about me?,Most likely
Does journaling make you a better person?,"As I see it, yes"
Does my cat love me?,Without a doubt
Does my dog love me?,Without a doubt
Is college going to help me grow up?,Without a doubt
Is it a good time to explore opportunities for creative collaboration?,"As I see it, yes"
Is it a good time to explore opportunities for creative expression?,Most likely
Is it a good time to explore opportunities for entrepreneurship?,Outlook good
Is it a good time to explore opportunities for networking?,Most likely
Is it a good time to explore opportunities for personal growth?,Yes definitely
Is it a good time to explore opportunities for professional networking?,Outlook good
Is it a good time to explore opportunities for public service?,Yes definitely
Is it a good time to explore opportunities for public speaking engagements?,Outlook good
Is it a good time to explore opportunities for remote work or freelancing?,"As I see it, yes"
Is it a good time to explore opportunities for travel?,Outlook good
Is it a good time to explore opportunities for volunteering in my community?,Yes
Is it a good time to invest in a new hobby?,Most likely
Is it a good time to invest in personal development?,Yes
Is it a good time to invest in renewable energy options?,Yes
Is it a good time to invest in self-care activities?,Most likely
Is it a good time to join a professional organization?,Outlook good
Is it a good time to join a social club to meet new people?,Most likely
Is it a good time to launch a creative project I've been planning?,"As I see it, yes"
Is it a good time to plan a weekend getaway?,Outlook good
Is it a good time to plan a weekend of relaxation?,Signs point to yes
Is it a good time to plan a weekend of self-care?,Without a doubt
Is it a good time to pursue further education?,Outlook good
Is it a good time to redecorate my living space?,Outlook good
Is it a good time to start a book club with friends?,Yes definitely
Is it a good time to start a family tradition?,Most likely
Is it a good time to start a new fitness routine?,Signs point to yes
Is it a good time to start a side business?,Outlook good
Is it a good time to start a side hustle?,Signs point to yes
Is it a good time to start practicing mindfulness?,Without a doubt
Is it a good time to update my resume?,Signs point to yes
Is it a good time to upgrade my skills through online courses?,Outlook good
Is it a good time to volunteer for a charitable cause?,It is certain
Is it ok to take a day off from work for self-care?,Without a doubt
Is it time for me to make up with Sarah?,Most likely
Is my activism having a positive impact on the world?,It is decidedly so
Is my team going to unionize?,Signs point to yes
Is now a good time to design my own adult coloring book?,You may rely on it
Is now a good time to start cooking more often?,It is decidedly so
Is she going to be ok?,Outlook good
Is that problem going to get resolved?,Outlook good
Is this a good time of year to reorganize my home?,It is certain
Is this a good time to start a new creative project with my friends from college?,Without a doubt
Is this the year that I lose the weight?,Outlook good
Is this the year that I stop biting my nails?,Outlook good
"Should Dana and I go on a date to one of those ""pot you paint"" places?",Without a doubt
Should I accept her apology?,It is decidedly so
Should I ask Dominique to partner with me on the project?,Most likely
Should I ask Rhonda to be my mentor at work?,"As I see it, yes"
Should I ask someone new to hangout?,Outlook good
Should I attend the meeting tonight?,Outlook good
Should I become a Big Sister,Yes definitely
Should I become a mentor?,Without a doubt
Should I build a better relationship with the people on my block?,It is certain
Should I buy an air fryer?,"As I see it, yes"
Should I call Janezee?,Without a doubt
Should I collaborate with my friend virtually to make a new album like the Postal Service?,Without a doubt
Should I consider joining a social group for networking?,Without a doubt
Should I consider joining a team sport to make friends?,Yes
Should I do Dry January this year?,Without a doubt
Should I do freelancing on the side for extra cash?,Most likely
Should I donate more money to charity?,Without a doubt
Should I enroll in a course to enhance my French skills?,Most likely
Should I enter the holiday cookie baking competition?,Yes definitely
Should I explore opportunities for career advancement?,Without a doubt
Should I explore opportunities for remote work?,"As I see it, yes"
Should I focus on myself this year and take time off from dating?,Outlook good
Should I get a penpal to practice my French?,It is decidedly so
Should I get CPR certified?,Without a doubt
Should I get my mom pilates classes for Hanukah?,"As I see it, yes"
Should I give away some of my excess stuff?,Without a doubt
Should I give someone else my seat on the subway?,Yes definitely
Should I go get my chart read?,Signs point to yes
Should I go to a leadership training seminar?,Outlook good
Should I go to a new country for my next vaction?,Most likely
Should I go to a trade school?,Signs point to yes
Should I go to more networking events?,Outlook good
Should I have solar panels installed on our roof?,"As I see it, yes"
Should I host a dinner party next week?,Outlook good
Should I indulge in some self-care this weekend?,It is decidedly so
Should I initiate a difficult conversation with a friend for better understanding?,Most likely
Should I install solar?,"As I see it, yes"
Should I invest in upgrading my personal finance management skills?,Yes definitely
Should I invest in upgrading my personal skills?,It is certain
Should I invest time in improving my conflict resolution skills?,You may rely on it
Should I invest time in improving my problem-solving skills?,You may rely on it
Should I invest time in mindfulness practices?,Without a doubt
Should I invest time in practicing mindfulness?,Without a doubt
Should I invest time in reconnecting with old friends?,Without a doubt
Should I join a book club to make new friends?,Signs point to yes
Should I join a bowling league this year?,Outlook good
Should I join a nonfiction book club?,Outlook good
Should I join my local book store's mystery novel book club?,Yes definitely
Should I join my local chapter of the Sierra Club?,Without a doubt
Should I join my local community board?,"As I see it, yes"
Should I join the bowling league even though I'm bad at it?,Signs point to yes
Should I join Toastmasters?,Outlook good
Should I learn how to play the upright base?,"As I see it, yes"
Should I learn how to use watercolors?,Yes
Should I learn to draw?,Yes
Should I learn to make ceramics?,Outlook good
Should I learn to speak Spanish?,Most likely
Should I learn to speak Tagalog?,"As I see it, yes"
Should I let this person cut in so they don't have to wait so long?,Without a doubt
Should I move to Iceland?,"As I see it, yes"
Should I offer to help my neighbors with free babysitting?,Without a doubt
Should I organize a fundraiser for a cause I care about?,Outlook good
Should I pick truth in truth or dare?,Yes
Should I pursue a more minimalist lifestyle?,Yes
Should I put more effort into being a part of my family?,Outlook good
Should I reach out to a long-lost friend for a catch-up?,Outlook good
Should I reach out to a long-lost friend?,Outlook good
Should I read more mystery books?,Without a doubt
Should I read more?,Without a doubt
Should I redecorate my office?,"As I see it, yes"
Should I seek professional advice?,Outlook good
Should I sell my plasma?,Outlook good
Should I sign up for wheel throwing classes?,"As I see it, yes"
Should I sign up to get a mentor at school this year?,Outlook good
Should I socialize more often?,You may rely on it
Should I spend time learning about my family history?,Outlook good
Should I start a blog to document my travel experiences?,Signs point to yes
Should I start a blog?,Signs point to yes
Should I start a book club?,Without a doubt
Should I start a book review blog?,Signs point to yes
Should I start a community garden?,Without a doubt
Should I start a cooking blog?,Outlook good
Should I start a gratitude journal for positive thinking?,Without a doubt
Should I start a mindfulness practice for better focus?,Without a doubt
Should I start a new hobby?,Most likely
Should I start a romance novel book club?,Outlook good
Should I start a side hustle to sell plants on Etsy?,Outlook good
Should I start doing crossword puzzles?,Yes
Should I start doing the NYT cross word puzzle?,Most likely
Should I start exercising more often?,Outlook good
Should I start painting again?,Most likely
Should I start playing D&D with my friends over Zoom?,You may rely on it
Should I start posting videos of cooking tutorials?,Outlook good
Should I start selling my extra produce at the farmer's market?,Most likely
Should I start volunteering?,Without a doubt
Should I start weaving?,Outlook good
Should I stretch more often?,Without a doubt
Should I take a day trip to explore a town nearby?,Outlook good
Should I take a Gotham Writing class to meet new people?,Signs point to yes
Should I take on a new consulting project?,Signs point to yes
Should I talk to my neighbors more often?,"As I see it, yes"
Should I tell Alex to go to AA?,Outlook good
Should I tell Esther how I really feel?,Outlook good
Should I throw Kisha a surprise party?,Outlook good
Should I tip more than 15%?,Without a doubt
Should I tip more than 20%?,Without a doubt
Should I try harder to connect with my siblings?,Most likely
Should I try Moroccan food?,"As I see it, yes"
Should I try that new restaurant tonight?,Outlook good
Should I try that project I saw on HGTV?,Outlook good
Should I try to be a better friend for Kelly?,Without a doubt
Should I try to do freelance writing on the side?,Outlook good
Should I try to find a job abroad?,Signs point to yes
Should I try to install the boiler myself?,Very doubtful
Should I try to make more friends at work?,Without a doubt
Should I visit my relatives in Germany?,Outlook good
Should I volunteer for the Salvation Army?,Most likely
Should I volunteer to cover for Tina next week?,Outlook good
Should I work out more days a week?,Outlook good
Should I write a book to teach others about nutrition?,Outlook good
Should I write a travel guide?,Signs point to yes
Should I write an original bedtime story to read to my kids?,Yes definitely
Should we paint the kids room orange?,Without a doubt
Should we switch to an electric oven?,Yes definitely
Will a facial help me look younger?,Most likely
Will a gratitude journal lower my blood pressure?,Without a doubt
Will a new friendship bring positive energy into my life?,Without a doubt
Will a new friendship lead to a lifelong bond?,Outlook good
Will Americans learn to be kinder to each other?,"As I see it, yes"
Will college open doors for me?,Without a doubt
Will Davey and I make up soon?,Most likely
Will Denardo forgive me?,Signs point to yes
Will drawing more help me feel more fulfilled?,"As I see it, yes"
Will I accomplish my long-term goals?,"As I see it, yes"
Will I be a good parent?,Outlook good
Will I be able to become a more confident interviewer?,Most likely
Will I be able to get through this rough patch at work?,Outlook good
Will I be able to lower my cholesterol if I listen to my doctor?,You may rely on it
Will I be able to make more friends?,You may rely on it
Will I be able to run a marathon if I keep training?,Outlook good
Will I be able to run that 10k in March?,Outlook good
Will I be able to see Bruce Springstein in concert?,Ask again later
Will I be able to stick with my new year's resolutions this year?,Outlook good
Will I be in a romantic relationship in the next six months?,Outlook good
Will I be recognized for my hard work?,"As I see it, yes"
Will I be successful as a creative?,Outlook good
Will I beat the cancer?,Outlook good
Will I ever be able to forgive Ortesia?,Without a doubt
Will I ever be able to retire?,Outlook good
Will I ever feel less depressed?,You may rely on it
