alli_q,answer_4
Is it a good time for international travel?,Cannot predict now
Is it a good time to explore opportunities for freelance work?,Cannot predict now
Is it a good time to explore opportunities for mentorship?,Cannot predict now
Is it a good time to explore opportunities for online education?,Cannot predict now
Is it a good time to explore opportunities for online learning?,Cannot predict now
Is it a good time to explore opportunities for public speaking?,Cannot predict now
Is it a good time to invest in stocks?,Cannot predict now
Is it a good time to plan a family gathering?,Cannot predict now
Is it a good time to pursue a passion project?,Cannot predict now
Is it a good time to start a family?,Cannot predict now
Is it a good time to start a new business?,Cannot predict now
Is it going to rain on prom night?,Cannot predict now
Is it my fault Alice cried?,Cannot predict now
Is it my fault she tripped?,Cannot predict now
Is it time for me to move on and start dating again?,Cannot predict now
Is it weird that I don't hangout with my cousins as an adult?,Cannot predict now
Is Katie going to be ok?,Cannot predict now
Is my cousin's baby going to be healthy?,Cannot predict now
Is my dad's condition going to deteriorate a lot this year?,Cannot predict now
Is my dog going to be ok?,Cannot predict now
Is my home secure?,Cannot predict now
Is the market steady enough to risk starting my own company right now?,Cannot predict now
Is there any truth outside of math?,Cannot predict now
Is this a good time to start a break dance crew?,Cannot predict now
Is this the right time to finally buy my own kiln?,Cannot predict now
Is volleyball cool?,Cannot predict now
Should I get a pet dog?,Cannot predict now
Should I just be honest and tell her my cousin scares me?,Cannot predict now
Should I take a self defense class?,Cannot predict now
Should Amir and I move in with my parents?,Cannot predict now
Should Dan and I open our own tattoo parlor?,Cannot predict now
Should I accept the job offer in Wakanda and move away from my family?,Cannot predict now
Should I accept the job offer?,Cannot predict now
Should I accept the new job offer?,Cannot predict now
Should I agree to be a character witness in court?,Cannot predict now
Should I ask for a divorce?,Cannot predict now
Should I ask Mateo to mary me?,Cannot predict now
Should I ask my dad for advice?,Cannot predict now
Should I attend a networking event in my industry?,Cannot predict now
Should I attend a reiki workshop?,Cannot predict now
Should I be closer with my parents?,Cannot predict now
Should I be friendlier with my next door neighbor?,Cannot predict now
Should I be my friend's sober guide while they try ayahuasca for the first time?,Cannot predict now
Should I be team captain next time we play capture the flag?,Cannot predict now
Should I become a freelancer so I can travel the US in a caravan?,Cannot predict now
Should I break up with Nore?,Cannot predict now
Should I break-out on my own and open that coffee shop?,Cannot predict now
Should I build up my following on tiktok to become an influencer?,Cannot predict now
Should I buy a fancy camera for family photos?,Cannot predict now
Should I buy a new car this year?,Cannot predict now
Should I buy a new tv?,Cannot predict now
Should I buy a surround sound system?,Cannot predict now
Should I buy a tablet?,Cannot predict now
Should I buy new clothes before my first day of work?,Cannot predict now
Should I buy new clothes before starting grad school?,Cannot predict now
Should I buy tickets to go see a play?,Cannot predict now
Should I change my last name?,Cannot predict now
Should I consider a career change to align with my passions?,Cannot predict now
Should I consider a change in my daily routine?,Cannot predict now
Should I consider joining a team sport for exercise?,Cannot predict now
Should I do a volunteer abroad program?,Cannot predict now
Should I do an Iron Man?,Cannot predict now
Should I do holiday decorations this year?,Cannot predict now
Should I do more riddles?,Cannot predict now
Should I dye my hair purple?,Cannot predict now
Should I finally start my own business?,Cannot predict now
Should I find a way to be my own boss?,Cannot predict now
Should I get a buzz cut?,Cannot predict now
Should I get a christmas tree this year?,Cannot predict now
Should I get a massage?,Cannot predict now
Should I get a new couch?,Cannot predict now
Should I get a new phone?,Cannot predict now
Should I get a new tv?,Cannot predict now
Should I get a pet cat?,Cannot predict now
Should I get a pet hamster?,Cannot predict now
Should I get a remote job and travel the world?,Cannot predict now
Should I get a tripod or just wing it?,Cannot predict now
Should I get an electric oven?,Cannot predict now
Should I get an electric stove?,Cannot predict now
Should I get back into Catholicism?,Cannot predict now
should I get holiday gifts for my next door neighbors?,Cannot predict now
Should I get my master's online?,Cannot predict now
Should I get my tubes tied?,Cannot predict now
Should I get ride of my current home security company?,Cannot predict now
Should I get takeaway tonight?,Cannot predict now
Should I get tickets to that concert?,Cannot predict now
Should I get Tim tickets to Iceland for his birthday?,Cannot predict now
Should I get yoga certified as a side job?,Cannot predict now
Should I get yoga certified?,Cannot predict now
Should I give them another chance?,Cannot predict now
Should I give up?,Cannot predict now
Should I go back to school to become a dietician?,Cannot predict now
Should I go back to school to become a therapist?,Cannot predict now
Should I go back to therapy?,Cannot predict now
Should I go camping in the grand canyon?,Cannot predict now
Should I go canvasing?,Cannot predict now
Should I go on a road trip to Dollywood?,Cannot predict now
Should I go on a road trip to see all the great land artworks in the Southwest?,Cannot predict now
Should I go on Atkins?,Cannot predict now
Should I go on medication?,Cannot predict now
Should I go on sabbatical?,Cannot predict now
Should I go see the new action movie?,Cannot predict now
Should I go to AfroPunk?,Cannot predict now
Should I go to SouthBySouthwest?,Cannot predict now
Should I go to Thanksgiving this year?,Cannot predict now
Should I go to that young professionals mixer?,Cannot predict now
Should I go to the sauna this week?,Cannot predict now
Should I grow my own tomatoes?,Cannot predict now
Should I have an edible garden in my background?,Cannot predict now
Should I hire a photographer for new headshots?,Cannot predict now
Should I initiate a difficult conversation with a family member?,Cannot predict now
Should I initiate a difficult conversation with my co-worker?,Cannot predict now
Should I install a sink pump?,Cannot predict now
Should I install a water catch system?,Cannot predict now
Should I install security cameras?,Cannot predict now
Should I invest in a home security system?,Cannot predict now
Should I invest in improving my home's security?,Cannot predict now
Should I invest in learning a new form of dance?,Cannot predict now
Should I invest in name brand tech?,Cannot predict now
Should I invest in stocks right now?,Cannot predict now
Should I invest in upgrading my home office for better productivity?,Cannot predict now
Should I invest in upgrading my home's energy efficiency?,Cannot predict now
Should I invite Billie to be my business partner?,Cannot predict now
Should I invite Enrico out to dinner?,Cannot predict now
Should I invite our neighbors over for dinner?,Cannot predict now
Should I join a local community group?,Cannot predict now
Should I join a pinball team?,Cannot predict now
Should I join a social fraternity?,Cannot predict now
Should I join a tennis league?,Cannot predict now
Should I join an intramural soccer team?,Cannot predict now
Should I join my gym's pickleball league?,Cannot predict now
Should I join my office's softball league?,Cannot predict now
Should I join the committee?,Cannot predict now
Should I jump?,Cannot predict now
Should I learn how to do handbuilding?,Cannot predict now
Should I learn how to kickbox?,Cannot predict now
Should I learn how to use Power BI for work?,Cannot predict now
Should I learn InDesign?,Cannot predict now
Should I learn Javascript?,Cannot predict now
Should I learn new software programs for work?,Cannot predict now
Should I learn Photoshop?,Cannot predict now
Should I learn Python?,Cannot predict now
Should I learn Quickbooks?,Cannot predict now
Should I learn to fish?,Cannot predict now
Should I learn to play the guitar?,Cannot predict now
Should I leave my partner?,Cannot predict now
Should I leave my spouse?,Cannot predict now
Should I leave the nonprofit sector and try to make a lot of money?,Cannot predict now
"Should I make my birthday party ""under the sea"" themed this year?",Cannot predict now
Should I make my house electronics have a master control panel?,Cannot predict now
Should I move to a new city?,Cannot predict now
Should I move upstate?,Cannot predict now
Should I name my kid Birch?,Cannot predict now
Should I name my new baby Elma?,Cannot predict now
Should I offer to give the presentation at work?,Cannot predict now
Should I open my own bar?,Cannot predict now
Should I organize a family reunion?,Cannot predict now
Should I plan a spontaneous getaway with friends?,Cannot predict now
Should I plan a surprise vacation for my sister?,Cannot predict now
Should I pursue a certification to boost my career?,Cannot predict now
Should I pursue a more adventurous lifestyle?,Cannot predict now
Should I pursue a new hobby to spice up my routine?,Cannot predict now
Should I pursue further education for career advancement?,Cannot predict now
Should I pursue further education to enhance my career prospects?,Cannot predict now
Should I quit chemo to spend my remaining time with my family?,Cannot predict now
Should I quit this job?,Cannot predict now
Should I reach out to my estranged relatives?,Cannot predict now
"Should I read ""What Color Is your Parashute?""",Cannot predict now
Should I retire?,Cannot predict now
Should I reupholster my kitchen chairs?,Cannot predict now
Should I reupholster the chair on my own?,Cannot predict now
Should I rewire my electronics to sink up?,Cannot predict now
Should I run out on my wedding?,Cannot predict now
Should I sell my old camera on eBay?,Cannot predict now
Should I sell my sperm for extra cash?,Cannot predict now
Should I sign my partner and me up for salsa classes?,Cannot predict now
Should I sign up for that hiphop dance class?,Cannot predict now
Should I speak up more?,Cannot predict now
Should I spend more money on furniture?,Cannot predict now
Should I spend more time with family for emotional support?,Cannot predict now
Should I spill the tea?,Cannot predict now
Should I splurge on that expensive suit?,Cannot predict now
Should I start a blog to share my expertise in a specific area?,Cannot predict now
Should I start a ceramics studio?,Cannot predict now
Should I start a poker night?,Cannot predict now
Should I start doing yoga?,Cannot predict now
Should I start exploring the city with my camera?,Cannot predict now
Should I start investing?,Cannot predict now
Should I start praying?,Cannot predict now
Should I start publishing data analysis tutorials?,Cannot predict now
Should I start walking 10K steps a day?,Cannot predict now
Should I start writing an advice column?,Cannot predict now
Should I subscribe to Opera's Book Club?,Cannot predict now
Should I surprise my kids with a pet kitten?,Cannot predict now
Should I take a flower arrangement class with Wendy?,Cannot predict now
Should I take a spontaneous day off to relax and recharge?,Cannot predict now
Should I take a spontaneous trip this weekend?,Cannot predict now
Should I take on a writing partner to get more creative?,Cannot predict now
Should I take some time off to travel?,Cannot predict now
Should I take swimming lessons?,Cannot predict now
Should I take the data analysis class?,Cannot predict now
Should I tell Ebji that I don't like his friends?,Cannot predict now
Should I tell Erica that I don't want to do the holidays together at dinner tonight?,Cannot predict now
Should I tell her that I want a divorce tonight?,Cannot predict now
Should I tell her that I'm pregnant at dinner?,Cannot predict now
Should I tell him that we're engaged?,Cannot predict now
Should I tell Mona that Rodney was gossiping about her?,Cannot predict now
Should I tell my aunt about what my cousin did?,Cannot predict now
Should I tell my boss that my workload is overwhelming?,Cannot predict now
Should I tell my boss that Ricardo stole my idea?,Cannot predict now
Should I tell my client about my concerns?,Cannot predict now
Should I tell my job that I'm open to an international relocation?,Cannot predict now
Should I tell my mom that I am not moving back?,Cannot predict now
Should I tell my mom that I'm eloping?,Cannot predict now
Should I tell Shamus I love him?,Cannot predict now
Should I tell them how I really feel?,Cannot predict now
Should I throw a BBQ to get to know my new neighbors?,Cannot predict now
Should I train for a triathalon?,Cannot predict now
Should I train my dog for competitions?,Cannot predict now
Should I travel to a new country this year?,Cannot predict now
Should I trust my gut and quit while I'm ahead?,Cannot predict now
Should I trust my instincts?,Cannot predict now
Should I try a new form of exercise for variety?,Cannot predict now
Should I try a new form of exercise?,Cannot predict now
Should I try mushrooms?,Cannot predict now
Should I try rock climbing?,Cannot predict now
Should I try to be closer ot my extended family?,Cannot predict now
Should I try to be more spontaneous?,Cannot predict now
Should I try to become a professional writer?,Cannot predict now
Should I update my tech?,Cannot predict now
Should I upgrade all the tech in my house?,Cannot predict now
Should I upgrade my computer equipment?,Cannot predict now
Should I visit my extended family more often?,Cannot predict now
Should I volunteer to be project lead at work?,Cannot predict now
Should I volunteer to plan this year's block party?,Cannot predict now
Should I watch a scary movie tonight?,Cannot predict now
Should Katerina and I co-author a mystery novel together?,Cannot predict now
Should study primatology to be like Diane Foosey?,Cannot predict now
Should the whole family go vegan?,Cannot predict now
Should we adopt?,Cannot predict now
Should we have more kids?,Cannot predict now
Should we rent out our basement?,Cannot predict now
Should we throw a graduation party for Adris?,Cannot predict now
Should we volunteer to host brunch on Saturday?,Cannot predict now
Was that my fault?,Cannot predict now
Will a planner actually help with my ADHD?,Cannot predict now
Will a spa day help my inflamation?,Cannot predict now
Will a spa day make me happy?,Cannot predict now
Will be able to have kids soon?,Cannot predict now
Will Danja ever step up?,Cannot predict now
Will Donald Trump win the 2024 election?,Cannot predict now
Will Dwayne and I be friends forever?,Cannot predict now
Will enough people buy tickets to my concert?,Cannot predict now
Will Google ever have to pay European taxes?,Cannot predict now
Will I achieve my fitness goals this month?,Cannot predict now
Will I be a good boss?,Cannot predict now
Will I be able to afford a downpayment on a house this year?,Cannot predict now
Will I be able to find a publisher for my book?,Cannot predict now
Will I be able to find my lost phone?,Cannot predict now
Will I be able to fix the leaky sink myself?,Cannot predict now
Will I be able to get rush tickets to see Titanique?,Cannot predict now
Will I be able to go on tour this summer?,Cannot predict now
Will I be able to meet my deadline?,Cannot predict now
Will I be able to retire by 65?,Cannot predict now
Will I be financially stable in the next year?,Cannot predict now
Will I be inspired to write a book in the near future?,Cannot predict now
Will I beat Erikah in the arm wrestling challenge?,Cannot predict now
Will I become financial stable soon?,Cannot predict now
Will I ever find my soul mate?,Cannot predict now
Will I ever have a job that I like?,Cannot predict now
Will I ever lose that baby weight?,Cannot predict now
Will I ever save up enough to buy my own home?,Cannot predict now
Will I find a new remote job this year?,Cannot predict now
Will I find a parking spot?,Cannot predict now
Will I find the one this year?,Cannot predict now
Will I finish the 5k in under 35 minutes?,Cannot predict now
Will I get a high paying job relative to the cost of living in my area?,Cannot predict now
Will I get a promotion at work?,Cannot predict now
Will I get a raise if I take that class?,Cannot predict now
Will I get a scholarship?,Cannot predict now
Will I get good at ceramics?,Cannot predict now
Will I get picked to be captain of the football team?,Cannot predict now
Will I get to produce my own tv show?,Cannot predict now
Will I get to work with my hero?,Cannot predict now
Will I get to write for SNL?,Cannot predict now
Will I graduate on time?,Cannot predict now
Will I have a chance to attend a life-changing event?,Cannot predict now
Will I have a chance to travel to a new country this year?,Cannot predict now
Will I have a lucky day in the near future?,Cannot predict now
Will I have a lucky day this week?,Cannot predict now
Will I have a lucky streak in the coming weeks?,Cannot predict now
Will I have a smooth and enjoyable vacation next year?,Cannot predict now
Will I have a successful job interview this week?,Cannot predict now
Will I have a surprise celebration in my honor?,Cannot predict now
Will I love ceramics forever?,Cannot predict now
Will I make a new friend this month?,Cannot predict now
Will I meet someone new and interesting this month?,Cannot predict now
Will I pass my fitness test?,Cannot predict now
Will I receive a gift from someone special?,Cannot predict now
Will I receive an unexpected financial windfall?,Cannot predict now
Will I receive an unexpected gift?,Cannot predict now
Will I receive good news this week?,Cannot predict now
Will I receive positive feedback on my creative work?,Cannot predict now
Will I receive positive news about a pending opportunity?,Cannot predict now
Will I receive support in pursuing a passion project?,Cannot predict now
Will I receive support in pursuing my passion project?,Cannot predict now
Will I receive unexpected help during a challenging time?,Cannot predict now
Will I receive unexpected inspiration for a creative project?,Cannot predict now
Will I receive unexpected support during a challenging time?,Cannot predict now
Will I stick to my new year's workout plan?,Cannot predict now
Will I successfully learn to do a hand stand in yoga?,Cannot predict now
Will I successfully navigate a challenging situation at work?,Cannot predict now
Will I successfully navigate a complex decision at work?,Cannot predict now
Will I successfully navigate a conflict in my personal relationships?,Cannot predict now
Will I successfully negotiate a favorable deal?,Cannot predict now
Will I successfully overcome a challenge in my personal life?,Cannot predict now
Will I successfully overcome a challenging obstacle?,Cannot predict now
Will I win my election for student body president?,Cannot predict now
Will I win the raffle for that free vacation?,Cannot predict now
Will it snow this winter?,Cannot predict now
Will Joe Biden win the 2024 election?,Cannot predict now
Will Marcos do the right thing?,Cannot predict now
Will Mark propose?,Cannot predict now
Will Miranda teach me how to be cool?,Cannot predict now
Will my ankle heal in the next few months?,Cannot predict now
Will my book club let me pick the book next month?,Cannot predict now
Will my boss allow me to work remotely?,Cannot predict now
Will my boss give me the time off that I requested?,Cannot predict now
Will my cat dander allergies improve?,Cannot predict now
Will my creativity flow effortlessly in the coming weeks?,Cannot predict now
Will my financial situation improve soon?,Cannot predict now
Will my mom do another surprise visit?,Cannot predict now
Will my plane get in on time?,Cannot predict now
Will my wife respect me more if I built us our own fire pit?,Cannot predict now
Will self-driving cars come out in 2026?,Cannot predict now
Will the Maple Leafs win the championship?,Cannot predict now
Will the Rangers beat the Devils this week?,Cannot predict now
Will there ever be peace in the middle east?,Cannot predict now
Will Ziggy live another year?,Cannot predict now
Would I enjoy playing Dungeons & Dragons?,Cannot predict now
Would I like pickleball?,Cannot predict now
Am I a good colleague?,Cannot predict now
Am I a good dancer?,Cannot predict now
Am I funny?,Cannot predict now
Are people going to like my new exhibition?,Cannot predict now
Are people inherently good? ,Outlook good
Are you an optimist?,Outlook good
Can I trust my family?,Outlook good
Do I need to be more grateful?,Outlook good
Do I need to reconnect with my roots?,Outlook good
Do I want to find someone I trust to career advise?,Outlook good
Do letter writing campaigns make a difference?,Outlook good
Does Andrea want me to throw her a graduation party?,Outlook good
Does Evan care about me?,Outlook good
Does journaling make you a better person?,Outlook good
Does my cat love me?,Outlook good
Does my dog love me?,Outlook good
Is college going to help me grow up?,Outlook good
Is it a good time to explore opportunities for creative collaboration?,Outlook good
Is it a good time to explore opportunities for creative expression?,Outlook good
Is it a good time to explore opportunities for entrepreneurship?,Outlook good
Is it a good time to explore opportunities for networking?,Outlook good
Is it a good time to explore opportunities for personal growth?,Outlook good
Is it a good time to explore opportunities for professional networking?,Outlook good
Is it a good time to explore opportunities for public service?,Outlook good
Is it a good time to explore opportunities for public speaking engagements?,Outlook good
Is it a good time to explore opportunities for remote work or freelancing?,Outlook good
Is it a good time to explore opportunities for travel?,Outlook good
Is it a good time to explore opportunities for volunteering in my community?,Outlook good
Is it a good time to invest in a new hobby?,Outlook good
Is it a good time to invest in personal development?,Outlook good
Is it a good time to invest in renewable energy options?,Outlook good
Is it a good time to invest in self-care activities?,Outlook good
Is it a good time to join a professional organization?,Outlook good
Is it a good time to join a social club to meet new people?,Outlook good
Is it a good time to launch a creative project I've been planning?,Outlook good
Is it a good time to plan a weekend getaway?,Outlook good
Is it a good time to plan a weekend of relaxation?,Outlook good
Is it a good time to plan a weekend of self-care?,Outlook good
Is it a good time to pursue further education?,Outlook good
Is it a good time to redecorate my living space?,Outlook good
Is it a good time to start a book club with friends?,Outlook good
Is it a good time to start a family tradition?,Outlook good
Is it a good time to start a new fitness routine?,Outlook good
Is it a good time to start a side business?,Outlook good
Is it a good time to start a side hustle?,Outlook good
Is it a good time to start practicing mindfulness?,Outlook good
Is it a good time to update my resume?,Outlook good
Is it a good time to upgrade my skills through online courses?,Outlook good
Is it a good time to volunteer for a charitable cause?,Outlook good
Is it ok to take a day off from work for self-care?,Outlook good
Is it time for me to make up with Sarah?,Outlook good
Is my activism having a positive impact on the world?,Outlook good
Is my team going to unionize?,Outlook good
Is now a good time to design my own adult coloring book?,Outlook good
Is now a good time to start cooking more often?,Outlook good
Is she going to be ok?,Outlook good
Is that problem going to get resolved?,Outlook good
Is this a good time of year to reorganize my home?,Outlook good
Is this a good time to start a new creative project with my friends from college?,Outlook good
Is this the year that I lose the weight?,Outlook good
Is this the year that I stop biting my nails?,Outlook good
"Should Dana and I go on a date to one of those ""pot you paint"" places?",Outlook good
Should I accept her apology?,Outlook good
Should I ask Dominique to partner with me on the project?,Outlook good
Should I ask Rhonda to be my mentor at work?,Outlook good
Should I ask someone new to hangout?,Outlook good
Should I attend the meeting tonight?,Outlook good
Should I become a Big Sister,Outlook good
Should I become a mentor?,Outlook good
Should I build a better relationship with the people on my block?,Outlook good
Should I buy an air fryer?,Outlook good
Should I call Janezee?,Outlook good
Should I collaborate with my friend virtually to make a new album like the Postal Service?,Outlook good
Should I consider joining a social group for networking?,Outlook good
Should I consider joining a team sport to make friends?,Outlook good
Should I do Dry January this year?,Outlook good
Should I do freelancing on the side for extra cash?,Outlook good
Should I donate more money to charity?,Outlook good
Should I enroll in a course to enhance my French skills?,Outlook good
Should I enter the holiday cookie baking competition?,Outlook good
Should I explore opportunities for career advancement?,Outlook good
Should I explore opportunities for remote work?,Outlook good
Should I focus on myself this year and take time off from dating?,Outlook good
Should I get a penpal to practice my French?,Outlook good
Should I get CPR certified?,Outlook good
Should I get my mom pilates classes for Hanukah?,Outlook good
Should I give away some of my excess stuff?,Outlook good
Should I give someone else my seat on the subway?,Outlook good
Should I go get my chart read?,Outlook good
Should I go to a leadership training seminar?,Outlook good
Should I go to a new country for my next vaction?,Outlook good
Should I go to a trade school?,Outlook good
Should I go to more networking events?,Outlook good
Should I have solar panels installed on our roof?,Outlook good
Should I host a dinner party next week?,Outlook good
Should I indulge in some self-care this weekend?,Outlook good
Should I initiate a difficult conversation with a friend for better understanding?,Outlook good
Should I install solar?,Outlook good
Should I invest in upgrading my personal finance management skills?,Outlook good
Should I invest in upgrading my personal skills?,Outlook good
Should I invest time in improving my conflict resolution skills?,Outlook good
Should I invest time in improving my problem-solving skills?,Outlook good
Should I invest time in mindfulness practices?,Outlook good
Should I invest time in practicing mindfulness?,Outlook good
Should I invest time in reconnecting with old friends?,Outlook good
Should I join a book club to make new friends?,Outlook good
Should I join a bowling league this year?,Outlook good
Should I join a nonfiction book club?,Outlook good
Should I join my local book store's mystery novel book club?,Outlook good
Should I join my local chapter of the Sierra Club?,Outlook good
Should I join my local community board?,Outlook good
Should I join the bowling league even though I'm bad at it?,Outlook good
Should I join Toastmasters?,Outlook good
Should I learn how to play the upright base?,Outlook good
Should I learn how to use watercolors?,Outlook good
Should I learn to draw?,Outlook good
Should I learn to make ceramics?,Outlook good
Should I learn to speak Spanish?,Outlook good
Should I learn to speak Tagalog?,Outlook good
Should I let this person cut in so they don't have to wait so long?,Outlook good
Should I move to Iceland?,Outlook good
Should I offer to help my neighbors with free babysitting?,Outlook good
Should I organize a fundraiser for a cause I care about?,Outlook good
Should I pick truth in truth or dare?,Outlook good
Should I pursue a more minimalist lifestyle?,Outlook good
Should I put more effort into being a part of my family?,Outlook good
Should I reach out to a long-lost friend for a catch-up?,Outlook good
Should I reach out to a long-lost friend?,Outlook good
Should I read more mystery books?,Outlook good
Should I read more?,Outlook good
Should I redecorate my office?,Outlook good
Should I seek professional advice?,Outlook good
Should I sell my plasma?,Outlook good
Should I sign up for wheel throwing classes?,Outlook good
Should I sign up to get a mentor at school this year?,Outlook good
Should I socialize more often?,Outlook good
Should I spend time learning about my family history?,Outlook good
Should I start a blog to document my travel experiences?,Outlook good
Should I start a blog?,Outlook good
Should I start a book club?,Outlook good
Should I start a book review blog?,Outlook good
Should I start a community garden?,Outlook good
Should I start a cooking blog?,Outlook good
Should I start a gratitude journal for positive thinking?,Outlook good
Should I start a mindfulness practice for better focus?,Outlook good
Should I start a new hobby?,Outlook good
Should I start a romance novel book club?,Outlook good
Should I start a side hustle to sell plants on Etsy?,Outlook good
Should I start doing crossword puzzles?,Outlook good
Should I start doing the NYT cross word puzzle?,Outlook good
Should I start exercising more often?,Outlook good
Should I start painting again?,Outlook good
Should I start playing D&D with my friends over Zoom?,Outlook good
Should I start posting videos of cooking tutorials?,Outlook good
Should I start selling my extra produce at the farmer's market?,Outlook good
Should I start volunteering?,Outlook good
Should I start weaving?,Outlook good
Should I stretch more often?,Outlook good
Should I take a day trip to explore a town nearby?,Outlook good
Should I take a Gotham Writing class to meet new people?,Outlook good
Should I take on a new consulting project?,Outlook good
Should I talk to my neighbors more often?,Outlook good
Should I tell Alex to go to AA?,Outlook good
Should I tell Esther how I really feel?,Outlook good
Should I throw Kisha a surprise party?,Outlook good
Should I tip more than 15%?,Outlook good
Should I tip more than 20%?,Outlook good
Should I try harder to connect with my siblings?,Outlook good
Should I try Moroccan food?,Outlook good
Should I try that new restaurant tonight?,Outlook good
Should I try that project I saw on HGTV?,Outlook good
Should I try to be a better friend for Kelly?,Outlook good
Should I try to do freelance writing on the side?,Outlook good
Should I try to find a job abroad?,Outlook good
Should I try to install the boiler myself?,Outlook not so good
Should I try to make more friends at work?,Outlook good
Should I visit my relatives in Germany?,Outlook good
Should I volunteer for the Salvation Army?,Outlook good
Should I volunteer to cover for Tina next week?,Outlook good
Should I work out more days a week?,Outlook good
Should I write a book to teach others about nutrition?,Outlook good
Should I write a travel guide?,Outlook good
Should I write an original bedtime story to read to my kids?,Outlook good
Should we paint the kids room orange?,Outlook good
Should we switch to an electric oven?,Outlook good
Will a facial help me look younger?,Outlook good
Will a gratitude journal lower my blood pressure?,Outlook good
Will a new friendship bring positive energy into my life?,Outlook good
Will a new friendship lead to a lifelong bond?,Outlook good
Will Americans learn to be kinder to each other?,Outlook good
Will college open doors for me?,Outlook good
Will Davey and I make up soon?,Outlook good
Will Denardo forgive me?,Outlook good
Will drawing more help me feel more fulfilled?,Outlook good
Will I accomplish my long-term goals?,Outlook good
Will I be a good parent?,Outlook good
Will I be able to become a more confident interviewer?,Outlook good
Will I be able to get through this rough patch at work?,Outlook good
Will I be able to lower my cholesterol if I listen to my doctor?,Outlook good
Will I be able to make more friends?,Outlook good
Will I be able to run a marathon if I keep training?,Outlook good
Will I be able to run that 10k in March?,Outlook good
Will I be able to see Bruce Springstein in concert?,Cannot predict now
Will I be able to stick with my new year's resolutions this year?,Outlook good
Will I be in a romantic relationship in the next six months?,Outlook good
Will I be recognized for my hard work?,Outlook good
Will I be successful as a creative?,Outlook good
Will I beat the cancer?,Outlook good
Will I ever be able to forgive Ortesia?,Outlook good
Will I ever be able to retire?,Outlook good
Will I ever feel less depressed?,Outlook good
Will I ever get over my clastrophobia?,Outlook good
Will I ever have a better relationship with my brother?,Outlook good
Will I ever have a good relationship with my father?,Outlook good
Will I ever stop having panic attacks?,Outlook good
Will I finally make friends this year?,Outlook good
Will I find a better way of dealing with Sarah's temper?,Outlook good
Will I find a good ending for my story?,Outlook good
Will I find a new hobby that brings me joy and isn't too expensive?,Outlook good
Will I get into college?,Outlook good
Will I get my anxiety down to a more managable level?,Outlook good
Will I get over my fear and ask for a raise?,Outlook good
Will I get over my fear of flying?,Outlook good
Will I get over my fear of spiders?,Outlook good
Will I get the guts to ask Shannel out?,Outlook good
Will I get to meet a celebrity on my next trip to LA?,Outlook good
Will I have a chance to attend a networking event?,Outlook good
Will I have a chance to attend a personal development retreat?,Outlook good
Will I have a chance to attend a professional development seminar this year?,Outlook good
Will I have a chance to attend a professional development workshop?,Outlook good
Will I have a chance to connect with a childhood friend?,Outlook good
Will I have a chance to connect with a mentor?,Outlook good
Will I have a chance to participate in a team-building workshop?,Outlook good
Will I have a chance to present my research at a conference this year?,Outlook good
Will I have a chance to showcase my talents for my parents?,Outlook good
